real,imaginary
-25.452288910742926,-36.50163830678212
-25.270575527144928,-36.05594201460817
-37.196758958687326,36.00062278325123
-36.1094706752956,-36.16529661466797
-23.933213289148338,34.90042288224418
-36.10947067529549,36.16529661466767
-25.333533514015635,36.388215547227524
-25.452288910742773,36.501638306782
-33.1734463677133,-35.48617068868776
-26.415938584354958,37.247258956898975
-36.9934641078865,-34.58877639737345
-25.27057552714503,36.05594201460836
-33.1734463677129,35.486170688687565
-27.39999128785315,-35.180888520401574
-27.39999128785297,35.180888520401815
-29.910087339116558,-35.44673220246354
-29.910087339116615,35.446732202463714
-28.902427495329746,37.73812614553077
-28.902427495329484,-37.738126145530664
-34.80412807734588,36.336134498121766
-34.171670275127255,36.63811788453284
-34.17167027512754,-36.6381178845329
-34.80412807734593,-36.336134498121574
-30.32412185075436,37.26741150847181
-30.32412185075442,-37.26741150847213
-29.636717033627264,37.059250805299314
-29.879339451635243,36.98777680302533
-29.636717033627388,-37.05925080529924
-29.879339451635573,-36.987776803025746
-12.741023868265327,22.47363380423665
-12.74102386826524,-22.473633804236524
-16.27842317531753,28.201656414177826
-16.27842317531722,-28.20165641417758
-42.14900673646719,-28.45634007287446
-21.507737194402566,32.27819321990394
-41.96739520781862,-25.701339613495055
-23.590058993617134,32.28026415007861
-20.145224240671567,-30.91562252955714
-23.59005899361689,-32.2802641500784
-36.99346410788687,34.58877639737367
-33.69501871635591,33.40132148371543
-33.69501871635571,-33.40132148371514
-32.98565256692689,-36.598952524443995
-33.52983595231708,-36.37111405292651
-32.9856525669267,36.59895252444387
-33.52983595231692,36.37111405292605
-31.2808611277976,36.74376106782109
-31.280861127797568,-36.74376106782113
-29.53767701668885,36.36567095848971
-33.96459585297729,35.59198800491747
-33.96459585297764,-35.59198800491779
-29.537677016689013,-36.36567095848952
-31.314323726891644,36.329512693750985
-31.314323726892027,-36.32951269375131
-40.97921010602901,-26.83065135197072
-41.96739520781853,25.70133961349499
-41.96946277364323,-26.130604582797208
-40.979210106028795,26.830651351970854
-20.145224240671766,30.91562252955722
-39.688939603935836,-28.94384530824889
-39.55414719741968,-29.090686689089516
-41.9694627736432,26.13060458279712
-35.14209428417802,-31.72759059858909
-39.68893960393581,28.943845308249013
-39.55414719741988,29.09068668908981
-26.57422349154132,-32.46720342997485
-35.1420942841778,31.72759059858916
-24.757915430143715,33.05824079085114
-25.90607202697783,-33.85678716215149
-26.57422349154084,32.46720342997437
-25.90607202697789,33.85678716215168
-32.84249919033922,35.00166561477888
-29.957554129508317,-35.870400885698196
-32.26596610166359,-32.95404604404383
-29.957554129508484,35.870400885698345
-32.26596610166343,32.9540460440439
-27.076221022945173,-34.33472174060525
-27.076221022945294,34.33472174060579
-31.39159883407944,35.608776347184104
-31.3915988340795,-35.60877634718394
-32.84249919033944,-35.001665614779164
-31.702512427428857,-35.41936440365637
-31.702512427428974,35.41936440365675
-30.168288698332173,-35.03935827250118
-30.168288698332308,35.0393582725015
-20.38132714249075,-28.37415201202481
-23.884958268642436,-30.381558473272964
-24.757915430143672,-33.0582407908511
-39.8108289348661,-26.58873239866482
-26.28856615494253,-33.50989612524729
-39.75759066964152,-26.149024479836285
-37.03868774344081,-28.315398724993965
-27.079727002531943,-30.96063225834215
-20.381327142490616,28.374152012024737
-29.647120928532463,-34.527406551400375
-27.476329039908972,-33.0579809344743
-35.33467287143237,-32.03713353548743
-36.57327870818871,-29.985565148994315
-30.024691172638946,-34.11521502400352
-35.99196304728166,-28.010518100266594
-28.671052115971957,-33.41656018158832
-23.884958268642716,30.381558473273305
-39.810828934866606,26.588732398664945
-32.85870723002947,-31.517658523873962
-30.552438990691538,-31.86770024245017
-39.757590669641104,26.14902447983612
-26.288566154942426,33.50989612524732
-37.038687743440306,28.315398724993653
-34.56656137755433,-31.759530098085985
-35.33467287143232,32.037133535487584
-24.43650070780025,30.778377259885396
-27.07972700253166,30.960632258342194
-29.647120928532654,34.52740655140049
-36.57327870818889,29.985565148994503
-27.476329039909032,33.05798093447427
-30.024691172638658,34.11521502400356
-32.71532006395354,-33.16284897457197
-35.991963047281644,28.01051810026653
-32.85870723002973,31.517658523874026
-28.671052115971655,33.416560181588096
-30.55243899069153,31.867700242450283
-34.56656137755432,31.759530098086067
-32.71532006395297,33.16284897457153
-37.13325652827403,-28.82399207680948
-31.980839795892113,-31.096610597401014
-37.13325652827424,28.82399207680981
